Titel;Duration;Band;Album;Genre;Year;Comment
Get It Hot;02:34;AC/DC;Highway To Hell;Hard Rock;1976;Mr. Metal
Girls Got Rhythm;03:22;AC/DC;Highway To Hell;Hard Rock;1976;Mr. Metal
Highway To Hell;03:28;AC/DC;Highway To Hell;Hard Rock;1976;Mr. Metal +
If You Want Blood You've Got It;04:32;AC/DC;Highway To Hell;Hard Rock;1976;Mr. Metal +
Love Hungry Man;04:15;AC/DC;Highway To Hell;Hard Rock;1976;Mr. Metal +
Night Prowler;06:14;AC/DC;Highway To Hell;Hard Rock;1976;Mr. Metal
Shot Down In Flames;03:23;AC/DC;Highway To Hell;Hard Rock;1976;Mr. Metal
Touch Too Much;04:26;AC/DC;Highway To Hell;Hard Rock;1976;Mr. Metal +
Walk All Over You;05:10;AC/DC;Highway To Hell;Hard Rock;1976;Mr. Metal
Problem Child;05:25;AC/DC;Let There Be Rock;Hard Rock;1977;Mr. Metal
Chase The Ace;02:59;AC/DC;Who Made Who;Hard Rock;1986;Mr. Metal
D.T.;02:48;AC/DC;Who Made Who;Hard Rock;1986;Mr. Metal
For Those About To Rock;05:43;AC/DC;Who Made Who;Hard Rock;1986;Mr. Metal
Hells Bells;05:11;AC/DC;Who Made Who;Hard Rock;1986;Mr. Metal
Ride On;05:48;AC/DC;Who Made Who;Hard Rock;1986;Mr. Metal
Shake Your Foundations;04:07;AC/DC;Who Made Who;Hard Rock;1986;Mr. Metal
Sink The Pink;04:11;AC/DC;Who Made Who;Hard Rock;1986;Mr. Metal
Who Made Who;03:24;AC/DC;Who Made Who;Hard Rock;1986;Mr. Metal
You Shook Me All Night Long;03:30;AC/DC;Who Made Who;Hard Rock;1986;Mr. Metal
Balls To The Walls;05:43;Accept;Balls To The Wall;Heavy Metal;1983;Mr. Metal
Fight It Back;03:30;Accept;Balls To The Wall;Heavy Metal;1983;Mr. Metal
Guardian Of The Night;04:25;Accept;Balls To The Wall;Heavy Metal;1983;Mr. Metal
Head Over Heels;04:19;Accept;Balls To The Wall;Heavy Metal;1983;Mr. Metal
London Leatherboys;03:58;Accept;Balls To The Wall;Heavy Metal;1983;Mr. Metal
Losers And Winners;04:19;Accept;Balls To The Wall;Heavy Metal;1983;Mr. Metal
Losing More Than You've Ever Had;05:05;Accept;Balls To The Wall;Heavy Metal;1983;Mr. Metal
Love Child;03:35;Accept;Balls To The Wall;Heavy Metal;1983;Mr. Metal
Turn Me On;05:12;Accept;Balls To The Wall;Heavy Metal;1983;Mr. Metal
Winterdreams;04:45;Accept;Balls To The Wall;Heavy Metal;1983;Mr. Metal
Fast As A Shark;03:50;Accept;Bruetal Legend;Soundtrack;2010;Mr. Metal +
Balls to the Wall;05:43;Accept;Old School Heavy Metal;Heavy Metal;2015;Mr. Metal
Princess of the Dawn;06:17;Accept;Old School Heavy Metal;Heavy Metal;2015;Mr. Metal
Son Of A Bitch;03:45;Accept;Old School Heavy Metal;Heavy Metal;2015;Mr. Metal
You Shook Me All Night Long;03:30;ACDC;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
I Don't Want to Miss a Thing - From the Touchstone film, Armageddon;05:00;Aerosmith;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
Born in Uniform;03:04;Aggravator;New Wave Of Thrash Metal;Thrash Metal;2015;Mr. Metal
Dehumanized;04:50;Aggression;New Wave Of Thrash Metal;Thrash Metal;2015;Mr. Metal
Aggropunk;01:52;Aggropunk;Aggropunk Vol. 2;Punk Rock;2011;Mr. Metal
Gotta Go;03:35;Agnostic Front;Something's Gotta Give;Hardcore;1998;Mr. Metal +
Ahead To The Sea;04:18;Ahead To The Sea;Urban Pirate Sound System;Folk Punk;2005;Mr. Metal
