Titel;Duration;Band;Album;Genre;Year;Comment
Bird Trouble;04:14;Cock Sparrer;Guilty As Charged;Oi!;1994;Mr. Metal
Crack In The Mirror;05:43;Cock Sparrer;Guilty As Charged;Oi!;1994;Mr. Metal
Don't Blame Us;03:12;Cock Sparrer;Guilty As Charged;Oi!;1994;Mr. Metal
Get A Rope;03:14;Cock Sparrer;Guilty As Charged;Oi!;1994;Mr. Metal
I Fit Central Heating (Working Part II);04:01;Cock Sparrer;Guilty As Charged;Oi!;1994;Mr. Metal
Last Train To Daggenham;02:35;Cock Sparrer;Guilty As Charged;Oi!;1994;Mr. Metal
Roads To Freedom;05:03;Cock Sparrer;Guilty As Charged;Oi!;1994;Mr. Metal
Strip;03:46;Cock Sparrer;Guilty As Charged;Oi!;1994;Mr. Metal
Tough Guys;03:42;Cock Sparrer;Guilty As Charged;Oi!;1994;Mr. Metal +
We Know How To Live;03:53;Cock Sparrer;Guilty As Charged;Oi!;1994;Mr. Metal
Suicide Girls;03:03;Cock Sparrer;Here We Stand;Oi!;2007;Mr. Metal +
Out On An Island;04:38;Cock Sparrer;Shock Troops;Oi!;1982;Mr. Metal +
Droogs Don't Run;02:55;Cock Sparrer;Shock Troops / Running Riot in '84;Oi!;2005;Mr. Metal
I Got Your Number;02:48;Cock Sparrer;Shock Troops / Running Riot in '84;Oi!;2005;Mr. Metal
Out On An Island;04:38;Cock Sparrer;Shock Troops / Running Riot in '84;Oi!;2005;Mr. Metal
Riot Squad;02:45;Cock Sparrer;Shock Troops / Running Riot in '84;Oi!;2005;Mr. Metal 
Secret Army;01:56;Cock Sparrer;Shock Troops / Running Riot in '84;Oi!;2005;Mr. Metal
Take 'em All;02:34;Cock Sparrer;Shock Troops / Running Riot in '84;Oi!;2005;Mr. Metal
Watch Your Back;02:21;Cock Sparrer;Shock Troops / Running Riot in '84;Oi!;2005;Mr. Metal
We're Coming Back;03:24;Cock Sparrer;Shock Troops / Running Riot in '84;Oi!;2005;Mr. Metal
Where Are They Now;02:59;Cock Sparrer;Shock Troops / Running Riot in '84;Oi!;2005;Mr. Metal
Working;02:46;Cock Sparrer;Shock Troops / Running Riot in '84;Oi!;2005;Mr. Metal
Battersea Bardot;03:22;Cock Sparrer;Two Monkeys;Oi!;1997;Mr. Metal +
Beautiful World;04:05;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal +
Children On Parade;03:38;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal
Circles Erratica;04:05;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal
Don't Wait Up;04:00;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal
Going Somewhere;02:41;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal
I Don't Know Why;02:53;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal
I Just Don't Think I'll Ever Get Over You (radio edit);04:32;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal
Lifeline;04:03;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal
Looking For Jack;02:57;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal
Maggie;04:22;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal +
My Brilliant Feat;03:27;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal
Overkill;03:47;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal +
Waiting For My Real Life To Begin;05:47;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal +
Waiting For My Real Life To Begin (radio edit);03:42;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal
Water Song;04:10;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal
Wayfaring Sons;03:43;Colin Hay;Going Somewhere;Rock;2001;Mr. Metal
Down Under - Acoustic Version;03:35;Colin Hay;Men @ Work;Folk ;2003;Mr. Metal +
Skeleton On Your Shoulder;05:34;Coroner;Bruetal Legend;Soundtrack;2010;Mr. Metal
Old Macdonald Had A Farm;02:09;The Countdown Kids;Scrubs 8;Soundtrack;2009;Mr. Metal
Auberge;03:48;Craig Douglas;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
Riot in Everyone;03:57;Crashdïet;Riot in Everyone (2005) - Single;Glam Metal;2005;Mr. Metal +
Breath After Breath;07:12;Craving;At Dawn;Melodic Death Metal;2013;Mr. Metal
By The Blowing Wind;02:35;Craving;Craving;Melodic Death Metal;2012;Mr. Metal +
Ein Funken Abendrot;05:14;Craving;Craving;Melodic Death Metal;2012;Mr. Metal +
Into The Forest;03:20;Craving;Craving;Melodic Death Metal;2012;Mr. Metal
Leopard;04:41;Craving;Craving;Melodic Death Metal;2012;Mr. Metal +
Lord Of The Flames;04:28;Craving;Craving;Melodic Death Metal;2012;Mr. Metal
Lug Und Litanei;06:21;Craving;Craving;Melodic Death Metal;2012;Mr. Metal
The Nameless;06:17;Craving;Craving;Melodic Death Metal;2012;Mr. Metal
Revenge;03:30;Craving;Craving;Melodic Death Metal;2012;Mr. Metal +
The Song Of Prophetic Oleg;04:25;Craving;Craving;Melodic Death Metal;2012;Mr. Metal
Wolfsherz;04:58;Craving;Craving;Melodic Death Metal;2012;Mr. Metal +
Fortunate Son;02:21;Creedence Clearwater Revival;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
Bad Moon Rising;02:21;Creedence Clearwater Revival;Platinum;Rock;2004;Mr. Metal +
Before You Accuse Me;03:28;Creedence Clearwater Revival;Platinum;Rock;2004;Mr. Metal
Born On The Bayou;05:17;Creedence Clearwater Revival;Platinum;Rock;2004;Mr. Metal
Commotion;02:44;Creedence Clearwater Revival;Platinum;Rock;2004;Mr. Metal
Cotton Fields;02:58;Creedence Clearwater Revival;Platinum;Rock;2004;Mr. Metal +
Cross-Tie Walker;03:18;Creedence Clearwater Revival;Platinum;Rock;2004;Mr. Metal
Don't Look Now;02:12;Creedence Clearwater Revival;Platinum;Rock;2004;Mr. Metal
Feelin' Blue;05:14;Creedence Clearwater Revival;Platinum;Rock;2004;Mr. Metal
Fortunate Son;02:19;Creedence Clearwater Revival;Platinum;Rock;2004;Mr. Metal
Good Golly Miss Molly;02:44;Creedence Clearwater Revival;Platinum;Rock;2004;Mr. Metal
Green River;02:32;Creedence Clearwater Revival;Platinum;Rock;2004;Mr. Metal
(Wish I Could) Hideaway;03:44;Creedence Clearwater Revival;Platinum;Rock;2004;Mr. Metal
Caged With A Gun;04:16;Cripper;Devil Reveals;Thrash Metal;2009;Mr. Metal
Devil Reveals;05:11;Cripper;Devil Reveals;Thrash Metal;2009;Mr. Metal
Faqu;03:46;Cripper;Devil Reveals;Thrash Metal;2009;Mr. Metal
Helix;01:23;Cripper;Devil Reveals;Thrash Metal;2009;Mr. Metal
Hysteria;04:38;Cripper;Devil Reveals;Thrash Metal;2009;Mr. Metal
I;04:27;Cripper;Devil Reveals;Thrash Metal;2009;Mr. Metal
Hajdútánc;04:59;Dalriada;Ígéret;Folk Metal;2011;Mr. Metal +
Insomnia;06:31;Dark Fortress;Bruetal Legend;Soundtrack;2010;Mr. Metal
Sandstorm;03:45;Darude;Top 100;Charts;2000;Mr. Metal +
Alle Menschen Tot;01:53;Das Pack;Das Pack;Punk Rock;2009;Mr. Metal
Angelala;02:42;Das Pack;Das Pack;Punk Rock;2009;Mr. Metal
Fass Mir An Die Fuesse;03:22;Das Pack;Das Pack;Punk Rock;2009;Mr. Metal +
Geh Mir Aus Der Sonne;02:49;Das Pack;Das Pack;Punk Rock;2009;Mr. Metal
Heavy Metal Kind;02:38;Das Pack;Das Pack;Punk Rock;2009;Mr. Metal +
Ich Ruh Mich Aus;07:46;Das Pack;Das Pack;Punk Rock;2009;Mr. Metal
Mein Schwan;03:22;Das Pack;Das Pack;Punk Rock;2009;Mr. Metal +
Schlittschuh-Lied;03:19;Das Pack;Das Pack;Punk Rock;2009;Mr. Metal
Schwach Sein;04:13;Das Pack;Das Pack;Punk Rock;2009;Mr. Metal
Treue Oder Pflicht;03:23;Das Pack;Das Pack;Punk Rock;2009;Mr. Metal
Unsterblich;02:57;Das Pack;Das Pack;Punk Rock;2009;Mr. Metal
Waschzwang;02:51;Das Pack;Das Pack;Punk Rock;2009;Mr. Metal
Glaub mir;02:35;Das Pack;Kopenhagen;Punk Rock;2014;Mr. Metal
Hula Hoop;02:32;Das Pack;Kopenhagen;Punk Rock;2014;Mr. Metal
Immer einmal;03:27;Das Pack;Kopenhagen;Punk Rock;2014;Mr. Metal
Keine Ahnung kein Problem;03:05;Das Pack;Kopenhagen;Punk Rock;2014;Mr. Metal
Kopenhagen;01:32;Das Pack;Kopenhagen;Punk Rock;2014;Mr. Metal
Mach kaputt was nicht kaputt ist;03:01;Das Pack;Kopenhagen;Punk Rock;2014;Mr. Metal +
Positiv ueberrascht;02:48;Das Pack;Kopenhagen;Punk Rock;2014;Mr. Metal
Schnee;03:00;Das Pack;Kopenhagen;Punk Rock;2014;Mr. Metal
Situation;02:36;Das Pack;Kopenhagen;Punk Rock;2014;Mr. Metal
Sprich zu mir;02:38;Das Pack;Kopenhagen;Punk Rock;2014;Mr. Metal
Unheftig;02:53;Das Pack;Kopenhagen;Punk Rock;2014;Mr. Metal
Zu frueh;03:28;Das Pack;Kopenhagen;Punk Rock;2014;Mr. Metal
Zu lang;02:20;Das Pack;Kopenhagen;Punk Rock;2014;Mr. Metal
Du Bist Eine Nutte;03:03;Das Pack;Macht Doch Was Ihr Wollt;Punk Rock;2012;Mr. Metal +
Weil's Geil's;03:05;Das Pack;Macht Doch Was Ihr Wollt;Punk Rock;2012;Mr. Metal +
Cat People (Putting Out The Fire);04:11;David Bowie;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
True Survivor - From Kung Fury;03:40;David Hasselhoff;True Survivor;Pop;2015;Mr. Metal +
One In A Million;03:36;Dead Cult Diaries;The World is to small;Rock;2013;Mr. Metal +
Bite The Pain;04:30;Death;The Sound of Perseverance;Death Metal;1998;Mr. Metal +
A Moment Of Clarity;07:22;Death;The Sound of Perseverance;Death Metal;1998;Mr. Metal
Painkiller;06:03;Death;The Sound of Perseverance;Death Metal;1998;Mr. Metal +
I Will Follow You Into the Dark;03:09;Death Cab For Cutie;Scrubs 8;Soundtrack;2009;Mr. Metal +
Blitzkrieg;04:04;Deathstars;Bruetal Legend;Soundtrack;2010;Mr. Metal
Wolves Of The North;06:30;Debauchery;Rockers And War;Death Metal;2009;Mr. Metal +
Child In Time;10:20;Deep Purple;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
Fireball - 1996 Remastered Version;03:26;Deep Purple;Old School Heavy Metal;Heavy Metal;2015;Mr. Metal
Rock Of Ages;04:08;Def Leppard;Bruetal Legend;Soundtrack;2010;Mr. Metal
Pour Some Sugar On Me (2012);04:22;Def Leppard;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal +
Day For Ghosts;03:37;Delain;Lucidity;Symphonic Metal;2006;Mr. Metal
Daylight Lucidity;04:36;Delain;Lucidity;Symphonic Metal;2006;Mr. Metal
Deep Frozen;04:46;Delain;Lucidity;Symphonic Metal;2006;Mr. Metal
The Gathering;03:35;Delain;Lucidity;Symphonic Metal;2006;Mr. Metal +
No Compliance;05:10;Delain;Lucidity;Symphonic Metal;2006;Mr. Metal
Pristine;04:31;Delain;Lucidity;Symphonic Metal;2006;Mr. Metal
See Me In Shadow;04:41;Delain;Lucidity;Symphonic Metal;2006;Mr. Metal
Are You Done With Me;03:07;Delain;We Are The Others;Symphonic Metal;2012;Mr. Metal +
Babylon;04:08;Delain;We Are The Others;Symphonic Metal;2012;Mr. Metal
Electricity;04:12;Delain;We Are The Others;Symphonic Metal;2012;Mr. Metal
Generation Me;03:44;Delain;We Are The Others;Symphonic Metal;2012;Mr. Metal
Get The Devil Out Of Me;03:21;Delain;We Are The Others;Symphonic Metal;2012;Mr. Metal
Hit Me With Your Best Shot;03:59;Delain;We Are The Others;Symphonic Metal;2012;Mr. Metal
I Want You;04:52;Delain;We Are The Others;Symphonic Metal;2012;Mr. Metal
Milk And Honey;04:29;Delain;We Are The Others;Symphonic Metal;2012;Mr. Metal
Mother Machine;04:36;Delain;We Are The Others;Symphonic Metal;2012;Mr. Metal
Not Enough;04:45;Delain;We Are The Others;Symphonic Metal;2012;Mr. Metal
We Are The Others;03:19;Delain;We Are The Others;Symphonic Metal;2012;Mr. Metal +
Where Is The Blood;03:17;Delain;We Are The Others;Symphonic Metal;2012;Mr. Metal
Liar;03:16;Demon;Unleash the Fury;Heavy Metal;2015;Mr. Metal +
Mein Bester Feind;03:26;Der W;Schneller Hoeher Weidner;Deutschrock;2008;Mr. Metal +
Cry for Me Sky (Eulogy of the Scorned);04:02;DevilDriver;DevilDriver;Death Metal;2003;Mr. Metal
Devil's Son;02:49;DevilDriver;DevilDriver;Death Metal;2003;Mr. Metal +
Die (And Die Now);02:59;DevilDriver;DevilDriver;Death Metal;2003;Mr. Metal +
I Could Care Less;03:37;DevilDriver;DevilDriver;Death Metal;2003;Mr. Metal
I Dreamed I Died;03:30;DevilDriver;DevilDriver;Death Metal;2003;Mr. Metal
Caring's Overkill;04:33;DevilDriver;Winter Kills;Death Metal;2013;Mr. Metal
Sail;04:04;DevilDriver;Winter Kills;Death Metal;2013;Mr. Metal +
The Preacher;03:14;Diablo;Eternium;Thrash Metal;2004;Mr. Metal +
Am I Evil?;07:43;Diamond Head;Bruetal Legend;Soundtrack;2010;Mr. Metal
Die Boten;03:28;Die Apokalyptischen Reiter;Moral & Wahnsinn;Metal;2011;Mr. Metal +
Dir Gehoert Nichts;03:03;Die Apokalyptischen Reiter;Moral & Wahnsinn;Metal;2011;Mr. Metal +
Dr. Pest;03:54;Die Apokalyptischen Reiter;Moral & Wahnsinn;Metal;2011;Mr. Metal
Ein Liebes Lied;03:14;Die Apokalyptischen Reiter;Moral & Wahnsinn;Metal;2011;Mr. Metal
Erwache;03:33;Die Apokalyptischen Reiter;Moral & Wahnsinn;Metal;2011;Mr. Metal
Gib Dich Hin;03:51;Die Apokalyptischen Reiter;Moral & Wahnsinn;Metal;2011;Mr. Metal
Hammer Oder Amboss;03:34;Die Apokalyptischen Reiter;Moral & Wahnsinn;Metal;2011;Mr. Metal +
Heimkehr;01:45;Die Apokalyptischen Reiter;Moral & Wahnsinn;Metal;2011;Mr. Metal
Hoert Auf;03:30;Die Apokalyptischen Reiter;Moral & Wahnsinn;Metal;2011;Mr. Metal
Moral & Wahnsinn;03:12;Die Apokalyptischen Reiter;Moral & Wahnsinn;Metal;2011;Mr. Metal
Wir Reiten;03:56;Die Apokalyptischen Reiter;Moral & Wahnsinn;Metal;2011;Mr. Metal
Eruption;04:10;Die Apokalyptischen Reiter;Samurai;Metal;2004;Mr. Metal +
Wie Es Geht;04:00;Die Aerzte;Runter Mit Den Spendierhosen, Unsichtbarer!;Punk Rock;2000;Mr. Metal +
To the Hilt;03:41;Die Krupps;The Final Remixes;Industrial;1994;Mr. Metal +
Pushed Again;03:51;Die Toten Hosen;Top 100;Charts;1998;Mr. Metal +
Progenies Of The Great Apocalypse;05:18;Dimmu Borgir;Bruetal Legend;Soundtrack;2010;Mr. Metal
Holy Diver;05:41;Dio;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal +
Rainbow In The Dark;04:13;Dio;Old School Heavy Metal;Heavy Metal;2015;Mr. Metal +
Stand Up And Shout;03:17;Dio;Unleash the Fury;Heavy Metal;2015;Mr. Metal +
Sultans Of Swing;05:47;Dire Straits;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal +
Mr. Scary;04:31;Dokken;Bruetal Legend;Soundtrack;2010;Mr. Metal
American Pie;08:36;Don McLean;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal +
Steak Night song;00:24;Donald Fasion & Zach Braff;Scrubs 8;Soundtrack;2009;Mr. Metal
Wacken Hymne - We Are The Metalheads;04:37;Doro Pesch;Wacken Hymne - We Are The Metalheads;Heavy Metal;2009;Mr. Metal +
Through The Fire And Flames;07:24;Dragonforce;Bruetal Legend;Soundtrack;2010;Mr. Metal +
Dawn Over A New World;05:13;DragonForce;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
As One;03:01;Dropkick Murphys;Blackout ;Irish Folk Punk;2003;Mr. Metal
Bastards On Parade;03:51;Dropkick Murphys;Blackout ;Irish Folk Punk;2003;Mr. Metal
Black Velvet Band;03:03;Dropkick Murphys;Blackout ;Irish Folk Punk;2003;Mr. Metal
Buried Alive;01:58;Dropkick Murphys;Blackout ;Irish Folk Punk;2003;Mr. Metal
The Dirty Glass;03:39;Dropkick Murphys;Blackout ;Irish Folk Punk;2003;Mr. Metal +
Fields Of Athenry;04:24;Dropkick Murphys;Blackout ;Irish Folk Punk;2003;Mr. Metal +
Gonna Be A Blackout Tonight;02:39;Dropkick Murphys;Blackout ;Irish Folk Punk;2003;Mr. Metal
Kiss Me, I'm Shitfaced;05:34;Dropkick Murphys;Blackout ;Irish Folk Punk;2003;Mr. Metal +
The Outcast;03:10;Dropkick Murphys;Blackout ;Irish Folk Punk;2003;Mr. Metal +
This Is Your Life;03:44;Dropkick Murphys;Blackout ;Irish Folk Punk;2003;Mr. Metal +
Time To Go;02:53;Dropkick Murphys;Blackout ;Irish Folk Punk;2003;Mr. Metal
Walk Away;02:51;Dropkick Murphys;Blackout ;Irish Folk Punk;2003;Mr. Metal
Worker's Song;03:32;Dropkick Murphys;Blackout ;Irish Folk Punk;2003;Mr. Metal +
World Full Of Hate;02:23;Dropkick Murphys;Blackout ;Irish Folk Punk;2003;Mr. Metal
Fairmount Hill;03:58;Dropkick Murphys;The Meanest Of Times;Irish Folk Punk;2007;Mr. Metal
Flannigan's Ball;03:39;Dropkick Murphys;The Meanest Of Times;Irish Folk Punk;2007;Mr. Metal +
Johnny, I Hardly Knew Ya;03:55;Dropkick Murphys;The Meanest Of Times;Irish Folk Punk;2007;Mr. Metal +
Rose Tattoo;05:07;Dropkick Murphys;Signed And Sealed In Blood;Irish Folk Punk;2013;Mr. Metal +
Caps & Bottles;02:41;Dropkick Murphys;Sing Loud, Sing Proud;Irish Folk Punk;2001;Mr. Metal
A Few Good Men;02:36;Dropkick Murphys;Sing Loud, Sing Proud;Irish Folk Punk;2001;Mr. Metal
For Boston;01:33;Dropkick Murphys;Sing Loud, Sing Proud;Irish Folk Punk;2001;Mr. Metal
The Spicy Mchaggis Jig;02:28;Dropkick Murphys;Sing Loud, Sing Proud;Irish Folk Punk;2001;Mr. Metal +
Which Side Are You On;02:29;Dropkick Murphys;Sing Loud, Sing Proud;Irish Folk Punk;2001;Mr. Metal
The Wild Rover;03:26;Dropkick Murphys;Sing Loud, Sing Proud;Irish Folk Punk;2001;Mr. Metal
Captain Kelly's Kitchen;02:49;Dropkick Murphys;The Warriors Code;Irish Folk Punk;2005;Mr. Metal
Citizen CIA;01:28;Dropkick Murphys;The Warriors Code;Irish Folk Punk;2005;Mr. Metal
I'm Shipping Up To Boston;02:47;Dropkick Murphys;The Warriors Code;Irish Folk Punk;2005;Mr. Metal +
Lets Go Surfing;02:55;The Drums;The Drums;Indie Rock;2010;Mr. Metal +
Hotel California;06:32;Eagles;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal +
September;03:35;Earth, Wind & Fire;The Greatest Hits;Disco;2010;Mr. Metal +
Demon (Of the Northern Seas);05:05;Edge Of Attack;Edge Of Attack;Power Metal;2013;Mr. Metal
Edge of Attack;05:06;Edge Of Attack;Edge Of Attack;Power Metal;2013;Mr. Metal
Forever;03:47;Edge Of Attack;Edge Of Attack;Power Metal;2013;Mr. Metal
In Hell;04:37;Edge Of Attack;Edge Of Attack;Power Metal;2013;Mr. Metal +
In the Night;04:28;Edge Of Attack;Edge Of Attack;Power Metal;2013;Mr. Metal
Rise Above;05:56;Edge Of Attack;Edge Of Attack;Power Metal;2013;Mr. Metal
Huka-Tschaka Toeff Toeff;04:15;Eisenpimmel;Fuesse Hoch, Fernsehn An, Arschlecken!;Punk Rock;2009;Mr. Metal +
Dragonborn;03:58;The Elder Sroll's V: Skyrim;The Elder Sroll's V: Skyrim;Soundtrack;2012;Mr. Metal +
Inis Mona;04:09;Eluveitie;Slania;Folk Metal;2008;Mr. Metal +
Thus Spake The Nightspirit;04:30;Emperor;Bruetal Legend;Soundtrack;2010;Mr. Metal
I Wanna Be Your Man;03:06;Endeverafter;Scrubs 8;Soundtrack;2009;Mr. Metal +
The Ecstasy of Gold;03:23;Ennio Morricone;The Good, The Bad And The Ugly;Soundtrack;1966;Mr. Metal +
Dragonheads;05:21;Ensiferum;Dragonheads;Folk Metal;2006;Mr. Metal +
Finnish Medley;05:10;Ensiferum;Dragonheads;Folk Metal;2006;Mr. Metal
Into Hiding;03:49;Ensiferum;Dragonheads;Folk Metal;2006;Mr. Metal
Kalevala Melody;01:48;Ensiferum;Dragonheads;Folk Metal;2006;Mr. Metal
Warrior's Quest;04:53;Ensiferum;Dragonheads;Folk Metal;2006;Mr. Metal
White Storm;04:57;Ensiferum;Dragonheads;Folk Metal;2006;Mr. Metal
Abandoned;06:51;Ensiferum;Ensiferum;Folk Metal;2001;Mr. Metal +
Battle Song;03:20;Ensiferum;Ensiferum;Folk Metal;2001;Mr. Metal +
Eternal Wait;05:14;Ensiferum;Ensiferum;Folk Metal;2001;Mr. Metal +
Goblin's Dance;04:30;Ensiferum;Ensiferum;Folk Metal;2001;Mr. Metal
Guardians Of Fate;03:35;Ensiferum;Ensiferum;Folk Metal;2001;Mr. Metal +
Hero In A Dream;03:40;Ensiferum;Ensiferum;Folk Metal;2001;Mr. Metal
Intro;01:50;Ensiferum;Ensiferum;Folk Metal;2001;Mr. Metal
Little Dreamer - Vaeinaemoeinen (Part II);05:20;Ensiferum;Ensiferum;Folk Metal;2001;Mr. Metal +
Old Man - Vaeinaemoeinen (Part I);05:33;Ensiferum;Ensiferum;Folk Metal;2001;Mr. Metal
Token Of Time;04:16;Ensiferum;Ensiferum;Folk Metal;2001;Mr. Metal
Treacherous Gods;05:12;Ensiferum;Ensiferum;Folk Metal;2001;Mr. Metal +
Windrider;05:41;Ensiferum;Ensiferum;Folk Metal;2001;Mr. Metal +
By The Dividing Stream;03:51;Ensiferum;From Afar;Folk Metal;2009;Mr. Metal
From Afar;04:51;Ensiferum;From Afar;Folk Metal;2009;Mr. Metal +
Stone Cold Metal;07:26;Ensiferum;From Afar;Folk Metal;2009;Mr. Metal
Tumman Virran Taa;00:53;Ensiferum;From Afar;Folk Metal;2009;Mr. Metal
Twilight Tavern;05:39;Ensiferum;From Afar;Folk Metal;2009;Mr. Metal +
Battery;10:44;Ensiferum;Iron;Folk Metal;2004;Mr. Metal
Ferrum Aeternum;03:28;Ensiferum;Iron;Folk Metal;2004;Mr. Metal +
Into Battle;05:52;Ensiferum;Iron;Folk Metal;2004;Mr. Metal +
Iron;03:53;Ensiferum;Iron;Folk Metal;2004;Mr. Metal +
Lai Lai Hei;07:15;Ensiferum;Iron;Folk Metal;2004;Mr. Metal
Lost In Despair;05:38;Ensiferum;Iron;Folk Metal;2004;Mr. Metal +
Mourning Heart (Interlude);01:24;Ensiferum;Iron;Folk Metal;2004;Mr. Metal
Tears;03:20;Ensiferum;Iron;Folk Metal;2004;Mr. Metal +
Axe of Judgement;04:34;Ensiferum;One Man Army;Folk Metal;2015;Mr. Metal
Burden of the Fallen;01:50;Ensiferum;One Man Army;Folk Metal;2015;Mr. Metal
March of War;01:32;Ensiferum;One Man Army;Folk Metal;2015;Mr. Metal
Neito Pohjolan;04:12;Ensiferum;One Man Army;Folk Metal;2015;Mr. Metal
Ad Victoriam;03:11;Ensiferum;Victory Songs;Folk Metal;2015;Mr. Metal
Blood Is the Price of Glory;05:18;Ensiferum;Victory Songs;Folk Metal;2015;Mr. Metal +
Deathbringer from the Sky;05:11;Ensiferum;Victory Songs;Folk Metal;2015;Mr. Metal +
Lady in Black;10:00;Ensiferum;Victory Songs;Folk Metal;2015;Mr. Metal +
Wanderer;06:33;Ensiferum;Victory Songs;Folk Metal;2015;Mr. Metal +
Frost;02:52;Enslaved;Bruetal Legend;Soundtrack;2010;Mr. Metal
Loke;04:22;Enslaved;Bruetal Legend;Soundtrack;2010;Mr. Metal
Blut Im Auge;04:45;Equilibrium;Sagas;Pagan Metal;2008;Mr. Metal +
Daemmerung;05:55;Equilibrium;Sagas;Pagan Metal;2008;Mr. Metal +
Heimwaerts;02:34;Equilibrium;Sagas;Pagan Metal;2008;Mr. Metal +
Ruf In Den Wind;04:54;Equilibrium;Sagas;Pagan Metal;2008;Mr. Metal +
Snueffel;05:45;Equilibrium;Sagas;Pagan Metal;2008;Mr. Metal +
Unbesiegt;06:19;Equilibrium;Sagas;Pagan Metal;2008;Mr. Metal +
Verrat;06:05;Equilibrium;Sagas;Pagan Metal;2008;Mr. Metal +
Met;02:24;Equilibrium;Turis Fratyr;Pagan Metal;2005;Mr. Metal +
Unter Der Eiche;04:51;Equilibrium;Turis Fratyr;Pagan Metal;2005;Mr. Metal +
Himmelsrand;02:34;Equilibrium;Waldschrein;Pagan Metal;2013;Mr. Metal +
Schuldig;03:39;Eric Fish;Medieval Spirits 4;Folk;2010;Mr. Metal +
Prisoners In Paradise (Single Edit);04:30;Europe;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal +
My Immortal;04:23;Evanescence;Masterpieces of Rock 'n' Roll History;VA;2015;Mr. Metal
Taschengeld;02:48;Excrementory Grindfuckers;Headliner Der Herzen ;Fun Metal;2010;Mr. Metal +
Bonded by Blood;03:45;Exodus;Old School Heavy Metal;Heavy Metal;2015;Mr. Metal
Alternative;02:01;The Exploited;Best Of The Exploited: Totally Exploited;Punk Rock;2001;Mr. Metal +
Jeanny (Sus-Mix-Spect Crime Ve;05:58;Falco;Falco 3;Pop;1986;Mr. Metal
Rock Me Amadeus (Gold Mix);03:26;Falco;Falco 3;Pop;1986;Mr. Metal
Vienna Calling;04:13;Falco;Falco 3;Pop;1986;Mr. Metal +
Auf Der Flucht;04:13;Falco;Greatest Hits;Pop;1999;Mr. Metal
Brillantin' Brutal';03:48;Falco;Greatest Hits;Pop;1999;Mr. Metal
Der Kommissar (Club 69 Radio M;03:40;Falco;Greatest Hits;Pop;1999;Mr. Metal
Der Kommissar (Jason Nevins Ra;03:25;Falco;Greatest Hits;Pop;1999;Mr. Metal
Ganz Wien;05:07;Falco;Greatest Hits;Pop;1999;Mr. Metal
Helden Von Heute;04:07;Falco;Greatest Hits;Pop;1999;Mr. Metal
Hoch Wie Nie;04:21;Falco;Greatest Hits;Pop;1999;Mr. Metal
Junge Roemer;04:31;Falco;Greatest Hits;Pop;1999;Mr. Metal
Rock Me Amadeus;03:23;Falco;Greatest Hits;Pop;1999;Mr. Metal +
Cyberlove;03:34;Falco;Out Of The Dark (Into The Light);Pop;1998;Mr. Metal
Der Komissar 2000;03:48;Falco;Out Of The Dark (Into The Light);Pop;1998;Mr. Metal
Egoist;03:28;Falco;Out Of The Dark (Into The Light);Pop;1998;Mr. Metal +
Hit Me;03:47;Falco;Out Of The Dark (Into The Light);Pop;1998;Mr. Metal
I Guess I'll Never Know;04:51;Falco;Out Of The Dark (Into The Light);Pop;1998;Mr. Metal
Mutter, Der Mann Mit Dem Koks;03:39;Falco;Out Of The Dark (Into The Light);Pop;1998;Mr. Metal
Naked (Full Frontal Version);11:30;Falco;Out Of The Dark (Into The Light);Pop;1998;Mr. Metal
No Time For Revolution;03:53;Falco;Out Of The Dark (Into The Light);Pop;1998;Mr. Metal
Out Of The Dark (Into The Night);03:37;Falco;Out Of The Dark (Into The Light);Pop;1998;Mr. Metal +
Shake;03:42;Falco;Out Of The Dark (Into The Light);Pop;1998;Mr. Metal
Der Kommissar (Club 69 Remix);03:41;Falco;Verdammt Wir Leben Noch;Pop;1999;Mr. Metal
