BID;Band
332;Korpiklaani
333;Kotzreiz
334;KrawallBrüder
335;Kreator
336;Krisiun
337;Kvelertak
338;Lacuna Coil
339;Laith Al-Deen
340;Lashdown
341;Leaves' Eyes
342;Led Zeppelin
343;Left Eye Blind
344;Leftside
345;Legio Mortis
346;Legion of the Damned
347;Linkin Park
348;Lloyd Alexander
349;Loikaemie
350;Lord of the Lost
351;Lordi
352;Lucy Spraggan
353;Lulu und die Einhornfarm
354;Mad Sin
355;Madrost
356;Maggies Farm
357;Magna Mortalis
358;Malukah
359;Manegarm
360;Månegarm
361;Manowar
362;Marc Uwe Kling
363;Marcin Przybylowicz
364;Marcus Heitz
365;Marduk
366;Marilyn Manson
367;Markus Heitz
368;Marvin Gaye
369;Maskara
370;Mastodon
371;Matchbox Twenty
372;Matt Ryd
373;Mayhem
374;Meat Loaf
375;Meditation - Du Hast Pause
376;Megabosch
377;Megadeath
378;Megadeth
379;Megaherz
380;Men at Work
381;Metal Church
382;Metallica
383;Michael Schenker
384;Midnight Oil
385;Mighty Oaks
386;Milking the Goatmachine
387;Minas Morgul
388;Ministry
389;Mirrorthrone
390;Mischa-Sarim Vérollet
391;Misery Index
392;Misfits
393;Montreal
394;Moonsorrow
395;Morbid Angel
396;Mötley Crüe
397;Motörhead
398;Mr. Hurley & die Pulveraffen
399;Mr. Irish Bastard
400;Muff Daddy
401;Mumford & Sons
402;Münchener Freiheit
403;Naquadah
404;Nattaravnur
405;Negator
406;Neil Young
407;New Kids
408;Nicht der Rede Wert
409;Nightwish
410;Nordheim
411;Obituary
412;Obscurity
413;Odroerir
414;Of Monsters and Men
415;Olli Schulz
416;Oomph!
417;Oonagh
418;Ostrogoth
419;Outcast
420;Overkill
421;Ozzy Osbourne
422;Pampatut
423;Pantera
424;Pantheon I
425;Papa Roach
426;Passenger
427;Pastor & Mrs. Jim Colerick
428;Path of Golconda
429;Patrick Rothfuss
430;Paul Simon
431;Peaches
432;Perkele
433;Peter Gabriel
434;Phantom Winter
435;Phil Collins
436;Pink Floyd
437;Pipes And Pints
438;Piratenpabst
439;Poison
440;Polaris
441;Powerwolf
442;Prong
443;Punch 'n' Judy
444;Punch'n'Judy
445;Purify
446;Pyogenesis
447;Pyrates!
448;Queen
449;Queens of the Stone Age
450;Quiet Riot
451;Racer X
452;Radio Havanna
453;Rage
454;Rage Against The Machine
455;Raised Fist
456;Ramin Djawadi
457;Rammstein
458;Ratt
459;Ray Parker, Jr.
460;Reactory
461;Reckless Love
462;Red Cardinal
463;Restless
464;Riger
465;Riot
466;Rise Against
467;Rob Cantor
468;Rod Stewart
469;Romano
470;Rotz & Wasser
471;Running Wild
472;Sabaton
473;Sabiendas
474;Saltatio Mortis
475;Sanctuary
476;Santiano
477;Savatage
478;Saxon
479;Scar Symmetry
480;Schandmaul
481;Scorned
482;Scorpions
483;Scotland Yard
484;Scott McKenzie
485;Screen Team
486;SDP
487;Sebastian Fitzek
488;Sepultura
489;Sergej Lukianenko
490;Sharon Shannon
491;Shitripper
492;Sick Puppies
493;Simon Beckett
494;Sir Arthur Conan Doyle
495;Skadika
496;Skate Chords
497;Skid Row
498;Skyline
499;Slade
500;Slayer
501;Smoke Blow
502;Sodom
503;Soko-M
504;Sondaschule
505;Sonic Syndicate
506;Splitting Society
507;SS-Kaliert
508;Stage Bottles
509;Static-X
510;Steel Panther
511;Steel Sisters
512;Steelwing
513;Steppenwolf
514;Steve Winwood
515;Sting
516;Stormwarrior
517;Struwelpeter
518;Subway to sally
519;Suicidal Angels
520;Suzanne Collins
521;Swashbuckle
522;Sweet Brown
523;Sweet Savage
524;Taake
525;Tenacious D
526;Testament
527;The Bleeders
528;The Bones
529;The Boomtown Rats
530;The Business
531;The Buzzcocks
532;The Byrds
533;The Countdown Kids
534;The Drums
535;The Elder Sroll's V: Skyrim
536;The Exploited
537;The Generators
538;The Goo Goo Dolls
539;The Haunted
540;The Hellion
541;The Incredible Herrengedeck
542;The King Blues
543;The Lonely Island
544;The Lonely Island feat. Justin Timberlake
545;The Lonely Island feat. Natalie Portman & Chris Parnell
546;The New Basement Tapes
547;The Offspring
548;The Other
549;The Peacocks
550;The Police
551;The Raven Age
552;The Rolling Stones
553;The Shins
554;The Spookshow
555;The Stranglers
556;The Toten Crackhuren im Kofferraum
557;The Unknown
558;The White Stripes
559;The Who
560;The Yogscast
561;These Four Walls
562;Thomas Bergersen
563;Threat Signal
564;Thyrfing
565;Timothy DeLaGhetto
566;Timothy Ferriss
567;Tina Turner
568;Tom Jacuba
569;Torfrock
570;Torture Pit
571;Toto
572;Tracy Chapman
573;Trallery
574;Tranquilizer
575;Trigger The Bloodshed
576;Trivium
577;Trollfest
578;Troopers
579;Turisas
580;Tvangeste
581;Twilight of the Gods
582;Twisted Sister
583;Tygers Of Pan Tang
584;TYR
585;Týr
586;U.D.O.
587;Udo Jürgens
588;Ufo
589;Ulrike Schweikert
590;Unantastbar
591;Unleashed
592;Uriah Heep
593;V8 Wankers
594;Vader
595;Vagabond
596;Valkyrja
597;Van Halen
598;Vangelis
599;Varg
600;Veronica Roth
601;Versengold
602;Vicious Rumours
603;Village People
604;Vogelfrey
605;Vollbeat
606;Volxsturm
607;Vomitory
608;Vreid
609;W.A.S.P.
610;Wacken Firefighters
611;Wardruna
612;Warlock
613;Warrant
614;Westernhagen
615;Wham!
616;Wheatus
617;White Lion
618;Whitesnake
619;Wintersun
620;Witt Heppner
621;Wolfchant
622;Wolfgang
623;Wolfgang Hohlbein
624;Wolfsheim
625;Wolfsmond
626;Ylvis
627;Yngwie Malmsteen
628;Zaunpfahl
629;ZZ Top
