38;1
21;2
15;3
39;4
8;5
23;6
39;7
36;8
37;9
39;10
29;11
33;11
46;11
51;11
23;12
48;12
15;13
37;13
37;14
9;15
23;15
39;16
41;16
12;17
15;17
35;17
37;17
48;17
36;18
37;19
11;20
8;21
15;22
13;23
20;23
21;23
22;23
35;24
14;25
39;25
23;26
36;26
14;27
28;28
39;29
8;30
8;31
33;32
36;32
9;33
35;34
4;35
39;36
36;37
37;38
28;39
48;40
53;40
23;41
9;42
48;42
54;42
15;43
39;44
11;45
10;46
38;46
15;47
36;47
54;47
8;48
30;49
24;50
3;52
23;51
23;52
37;54
11;55
9;56
39;57
3;58
19;59
39;60
23;61
17;62
48;63
9;64
33;64
48;65
15;66
23;67
48;68
15;69
52;69
35;70
37;70
54;71
48;72
51;72
32;73
22;74
52;75
23;76
3;77
38;78
48;79
3;80
53;80
53;81
45;82
15;83
48;83
7;84
9;84
14;84
33;84
36;84
47;84
14;85
37;85
44;85
47;85
48;85
9;86
50;87
51;88
42;89
35;90
37;90
23;91
23;91
23;91
33;91
15;92
48;92
37;93
14;94
45;95
7;96
36;97
48;97
11;98
3;99
5;100
55;101
45;102
48;103
49;104
17;105
36;106
6;107
10;107
17;107
34;107
38;107
15;108
36;108
50;108
52;108
33;109
47;109
7;110
36;111
37;112
36;113
33;114
36;115
39;115
48;116
42;117
15;118
23;118
3;119
9;119
33;119
35;119
9;120
50;120
55;120
1;121
5;122
48;122
15;123
16;123
35;123
38;123
9;124
36;124
37;125
9;126
35;126
36;126
37;126
44;126
16;127
50;128
30;129
41;130
17;131
19;132
18;133
41;133
51;133
19;134
34;134
12;135
15;135
33;135
36;135
53;135
37;136
9;137
35;137
36;137
13;138
37;139
44;140
18;141
48;141
18;142
38;143
11;144
39;145
44;145
35;146
25;147
27;147
31;147
36;148
15;149
33;150
44;151
37;152
4;153
34;153
35;154
41;154
36;155
36;156
3;157
38;158
31;159
40;160
14;161
43;162
23;163
9;164
14;165
39;166
9;167
36;168
15;169
23;169
45;170
39;171
2;172
11;173
17;174
42;175
9;176
23;176
33;176
35;176
3;180
37;181
3;182
17;183
38;183
37;185
2;186
23;186
11;188
6;189
22;190
9;191
9;192
37;192
46;192
37;195
15;196
35;196
36;196
9;199
15;199
37;201
37;202
40;203
9;204
36;204
30;206
37;207
13;208
15;209
15;210
48;210
48;212
12;213
15;213
35;213
36;213
37;213
19;218
20;218
35;220
55;220
42;222
1;223
15;223
43;225
46;226
45;227
3;228
18;228
37;230
35;231
47;231
51;231
14;234
30;235
36;236
19;237
48;238
5;239
32;240
17;241
19;241
34;241
31;244
39;245
26;246
23;247
26;248
36;249
37;250
35;251
39;252
47;252
35;254
48;254
48;256
41;257
51;257
37;259
12;260
33;260
35;260
37;263
39;264
41;265
48;265
3;267
37;268
3;269
15;269
35;269
52;272
35;273
35;274
36;274
48;276
37;277
14;278
